"","track_n","line","lyric","track_title"
"1",1,1,"I think of you","Always in My Head"
"2",1,2,"I haven't slept","Always in My Head"
"3",1,3,"I think I do","Always in My Head"
"4",1,4,"But I don't forget","Always in My Head"
"5",1,5,"My body moves","Always in My Head"
"6",1,6,"Goes where I will","Always in My Head"
"7",1,7,"But though I try","Always in My Head"
"8",1,8,"My heart stays still","Always in My Head"
"9",1,9,"It never moves","Always in My Head"
"10",1,10,"Just won't be led","Always in My Head"
"11",1,11,"So my mouth waters to be fed","Always in My Head"
"12",1,12,"And you're always in my head","Always in My Head"
"13",1,13,"You're always in my head","Always in My Head"
"14",1,14,"You're always in my head","Always in My Head"
"15",1,15,"You're always in my head","Always in My Head"
"16",1,16,"You're always in my head","Always in My Head"
"17",1,17,"Always in my","Always in My Head"
"18",1,18,"Always in my","Always in My Head"
"19",1,19,"This, I guess","Always in My Head"
"20",1,20,"Is to tell you you're chosen out","Always in My Head"
"21",1,21,"From the rest","Always in My Head"
"22",3,1,"Got a tattoo that said ""together thru life""Carved in your name with my pocket knife","Ink"
"23",3,2,"And you wonder when you wake up, will it be alright? Ooooh ooh","Ink"
"24",3,3,"Feels like there's something broken inside","Ink"
"25",3,4,"All I know","Ink"
"26",3,5,"All I know","Ink"
"27",3,6,"Is that I'm lost","Ink"
"28",3,7,"Whenever you go","Ink"
"29",3,8,"All I know","Ink"
"30",3,9,"Is that I love you so","Ink"
"31",3,10,"So much that it hurts","Ink"
"32",3,11,"Got a tattoo and the pain's alright, oooh oooh","Ink"
"33",3,12,"Just wanted a way of keeping you inside (Ooooh ooh)","Ink"
"34",3,13,"All I know","Ink"
"35",3,14,"All I know","Ink"
"36",3,15,"Is that I'm lost","Ink"
"37",3,16,"In your fire below","Ink"
"38",3,17,"All I know","Ink"
"39",3,18,"Is that I love you so","Ink"
"40",3,19,"So much that it hurts","Ink"
"41",3,20,"I see the road begin to climb","Ink"
"42",3,21,"I see your stars begin to shine","Ink"
"43",3,22,"I see your colors","Ink"
"44",3,23,"And I'm dying of thirst","Ink"
"45",3,24,"All I know is that I love you so","Ink"
"46",3,25,"So much that it hurts (Oh yeah yeah yeah)","Ink"
"47",3,26,"So much that it hurts","Ink"
"48",3,27,"So much that it hurts","Ink"
"49",6,1,"Late night watching TV","Another's Arms"
"50",6,2,"Used to be you here beside me","Another's Arms"
"51",6,3,"Used to be your arms around me","Another's Arms"
"52",6,4,"Your body on my body","Another's Arms"
"53",6,5,"When the world means nothing to me","Another's Arms"
"54",6,6,"Another's arms, another's arms","Another's Arms"
"55",6,7,"When the pain just rips right through me","Another's Arms"
"56",6,8,"Another's arms, another's arms","Another's Arms"
"57",6,9,"Late night watching TV","Another's Arms"
"58",6,10,"Used to be you here beside me","Another's Arms"
"59",6,11,"Is there someone there to reach me?","Another's Arms"
"60",6,12,"Someone there to find me?","Another's Arms"
"61",6,13,"When the pain just rips right through me","Another's Arms"
"62",6,14,"Another's arms, another's arms","Another's Arms"
"63",6,15,"And that's just torture to me","Another's Arms"
"64",6,16,"Another's arms, another's arms","Another's Arms"
"65",6,17,"Pull yourself into me","Another's Arms"
"66",6,18,"Another's arms, another's arms","Another's Arms"
"67",6,19,"When the world means nothing to me","Another's Arms"
"68",6,20,"Another's arms, another's arms","Another's Arms"
"69",6,21,NA,"Another's Arms"
"70",6,22,"Got to pull you close into me","Another's Arms"
"71",6,23,"Another's arms, another's arms","Another's Arms"
"72",6,24,"Pull yourself right through me","Another's Arms"
"73",6,25,"Another's arms, another's arms","Another's Arms"
"74",6,26,"Late night watching TV","Another's Arms"
"75",6,27,"Wish that you were here beside me","Another's Arms"
"76",6,28,"Wish that your arms were around me","Another's Arms"
"77",6,29,"Your body on my body","Another's Arms"
"78",7,1,"Wait for your call, love","Oceans"
"79",7,2,"The call never came","Oceans"
"80",7,3,"Ready to fall up","Oceans"
"81",7,4,"Ready to claim","Oceans"
"82",7,5,"I'm ready for it all, love","Oceans"
"83",7,6,"Ready for the pain","Oceans"
"84",7,7,"Meet under sun and","Oceans"
"85",7,8,"Meet me again","Oceans"
"86",7,9,"In the rain","Oceans"
"87",7,10,"In the rain","Oceans"
"88",7,11,"In the rain","Oceans"
"89",7,12,"The rain","Oceans"
"90",7,13,"Behind the walls, love","Oceans"
"91",7,14,"I'm trying to change","Oceans"
"92",7,15,"And I'm ready for it all, love","Oceans"
"93",7,16,"I'm ready for the change","Oceans"
"94",7,17,"Meet me in blue sky","Oceans"
"95",7,18,"Meet me again","Oceans"
"96",7,19,"In the rain","Oceans"
"97",7,20,"The rain, the rain","Oceans"
"98",7,21,"The rain, the rain","Oceans"
"99",7,22,"Got to find yourself alone in this world","Oceans"
"100",7,23,"To find yourself alone","Oceans"
"101",7,24,NA,"Oceans"
"102",8,1,"'Cause you're a sky, 'cause you're a sky full of stars","A Sky Full of Stars"
"103",8,2,"I'm gonna give you my heart","A Sky Full of Stars"
"104",8,3,"'Cause you're a sky, 'cause you're a sky full of stars","A Sky Full of Stars"
"105",8,4,"'Cause you light up the path","A Sky Full of Stars"
"106",8,5,"I don't care, go on and tear me apart","A Sky Full of Stars"
"107",8,6,"I don't care if you do, ooh-ooh, ooh'Cause in a sky, 'cause in a sky full of stars","A Sky Full of Stars"
"108",8,7,"I think I saw you ooh-ooh-ooh, ooh-ooh-ooh","A Sky Full of Stars"
"109",8,8,"'Cause you're a sky, 'cause you're a sky full of stars","A Sky Full of Stars"
"110",8,9,"I wanna die in your arms, oh-oh-oh, oh-oh'Cause you get lighter the more it gets dark","A Sky Full of Stars"
"111",8,10,"I'm gonna give you my heart, oh","A Sky Full of Stars"
"112",8,11,"I don't care, go on and tear me apart","A Sky Full of Stars"
"113",8,12,"I don't care if you do, ooh-ooh, ooh'Cause in a sky, 'cause in a sky full of stars","A Sky Full of Stars"
"114",8,13,"I think I see you ooh-ooh-ooh, ooh-ooh-ooh","A Sky Full of Stars"
"115",8,14,"I think I see you ooh-ooh-ooh, ooh-ooh-ooh","A Sky Full of Stars"
"116",8,15,"'Cause you're a sky, you're a sky full of stars","A Sky Full of Stars"
"117",8,16,"Such a heavenly view","A Sky Full of Stars"
"118",8,17,"You're such a heavenly view","A Sky Full of Stars"
"119",8,18,"(Yeah, yeah, yeah, ooh)","A Sky Full of Stars"
"120",9,1,NA,"O (Hidden Track)"
"121",9,2,"Flock of birds","O (Hidden Track)"
"122",9,3,"Hovering above","O (Hidden Track)"
"123",9,4,"Just a flock of birds","O (Hidden Track)"
"124",9,5,"That's how you think of love","O (Hidden Track)"
"125",9,6,"And I always","O (Hidden Track)"
"126",9,7,"Look up to the sky","O (Hidden Track)"
"127",9,8,"Pray before the dawn‘Cause they fly away","O (Hidden Track)"
"128",9,9,"Sometimes they arrive","O (Hidden Track)"
"129",9,10,"Sometimes they are gone","O (Hidden Track)"
"130",9,11,"They fly on","O (Hidden Track)"
"131",9,12,"Flock of birds","O (Hidden Track)"
"132",9,13,"Hovering above","O (Hidden Track)"
"133",9,14,"Into smoke I'm turned","O (Hidden Track)"
"134",9,15,"And rise","O (Hidden Track)"
"135",9,16,"Following ‘em up","O (Hidden Track)"
"136",9,17,"Still I always","O (Hidden Track)"
"137",9,18,"Look up to the sky","O (Hidden Track)"
"138",9,19,"Pray before the dawn","O (Hidden Track)"
"139",9,20,"‘Cause they fly away","O (Hidden Track)"
"140",9,21,"One minute they arrive","O (Hidden Track)"
"141",9,22,"Next you know, they're gone","O (Hidden Track)"
"142",9,23,"The fly on","O (Hidden Track)"
"143",9,24,"Fly on","O (Hidden Track)"
"144",9,25,"Oh ohhhh","O (Hidden Track)"
"145",9,26,"So fly on","O (Hidden Track)"
"146",9,27,"Ride through","O (Hidden Track)"
"147",9,28,"Maybe one day I'll fly next to you","O (Hidden Track)"
"148",9,29,"Fly on","O (Hidden Track)"
"149",9,30,"Ride through","O (Hidden Track)"
"150",9,31,"Maybe one day I can fly with you","O (Hidden Track)"
"151",9,32,"Fly on","O (Hidden Track)"
"152",9,33,"Fly on","O (Hidden Track)"
"153",9,34,"Fly on","O (Hidden Track)"
"154",9,35,"Don't ever let go","O (Hidden Track)"
"155",9,36,"Don't ever let go","O (Hidden Track)"
"156",9,37,"Don't ever let go","O (Hidden Track)"
"157",9,38,"Don't ever let go","O (Hidden Track)"
"158",2,NA,NA,"Magic"
"159",4,NA,NA,"True Love"
"160",5,NA,NA,"Midnight"
"161",2,1,"Call it magic, call it true","Magic"
"162",2,2,"I call it magic when I'm with you","Magic"
"163",2,3,"And I just got broken, broken into two","Magic"
"164",2,4,"Still I call it magic, when I'm next to you","Magic"
"165",2,5,"And I don't, and I don't, and I don't, and I don't","Magic"
"166",2,6,"No I don't, it's true","Magic"
"167",2,7,"I don't, no, I don't, no, I don't, no, I don't","Magic"
"168",2,8,"Want anybody else but you","Magic"
"169",2,9,"And I don't, and I don't, and I don't, and I don't","Magic"
"170",2,10,"No I don't, it's true","Magic"
"171",2,11,"I don't, no, I don't, no, I don't, no, I don't","Magic"
"172",2,12,"Want anybody else but you","Magic"
"173",2,13,"Oooh ooh ooh-ooh","Magic"
"174",2,14,"Call it magic, cut me into two","Magic"
"175",2,15,"And with all your magic, I disappear from view","Magic"
"176",2,16,"And I can't get over, can't get over you","Magic"
"177",2,17,"Still, I call it magic, such a precious jewel","Magic"
"178",2,18,"And I don't, and I don't, and I don't, and I don't","Magic"
"179",2,19,"No I don't, it's true","Magic"
"180",2,20,"I don't, no, I don't, no, I don't, no, I don't","Magic"
"181",2,21,"Want anybody else but you","Magic"
"182",2,22,"And I don't, and I don't, and I don't, and I don't","Magic"
"183",2,23,"No I don't, it's true","Magic"
"184",2,24,"I don't, no, I don't, no, I don't, no, I don't","Magic"
"185",2,25,"Want anybody else but you","Magic"
"186",2,26,"Wanna fall, fall so far","Magic"
"187",2,27,"I wanna fall, fall so hard","Magic"
"188",2,28,"And I call it magic","Magic"
"189",2,29,"And I call it true","Magic"
"190",2,30,"I call it ma-, ma-ma-magic","Magic"
"191",2,31,"Oooh ooh ooh-ooh","Magic"
"192",2,32,"Oooh ooh ooh-ooh","Magic"
"193",2,33,"Oooh ooh ooh-ooh","Magic"
"194",2,34,"Oooh ooh ooh-ooh","Magic"
"195",2,35,"And if you were to ask me","Magic"
"196",2,36,"After all that we've been through","Magic"
"197",2,37,"""Still believe in magic?""","Magic"
"198",2,38,"Oh yes, I do","Magic"
"199",2,39,"Oh yes, I do","Magic"
"200",2,40,"Oh yes, I do","Magic"
"201",2,41,"Oh yes, I do","Magic"
"202",2,42,"Of course, I do","Magic"
"203",24,1,"For a second, I was in control","True Love"
"204",24,2,"I had it once, I lost it though","True Love"
"205",24,3,"And all along the fire below","True Love"
"206",24,4,"Would rise","True Love"
"207",24,5,"And I wish you could have let me know","True Love"
"208",24,6,"What's really going on below","True Love"
"209",24,7,"I've lost you now, you let me go","True Love"
"210",24,8,"But one last time","True Love"
"211",24,9,"Tell me you love me","True Love"
"212",24,10,"If you don't, then lie","True Love"
"213",24,11,"Lie to me","True Love"
"214",24,12,"Remember once upon a time","True Love"
"215",24,13,"When I was yours and you were blind","True Love"
"216",24,14,"The fire would sparkle in your eyes","True Love"
"217",24,15,"And mine","True Love"
"218",24,16,"So tell me you love me","True Love"
"219",24,17,"If you don't then lie","True Love"
"220",24,18,"Lie to me","True Love"
"221",24,19,"Just tell me you love me","True Love"
"222",24,20,"If you don't then lie","True Love"
"223",24,21,"Lie to me","True Love"
"224",24,22,"If you don't then lie","True Love"
"225",24,23,"Lie to me","True Love"
"226",24,24,"And call it true","True Love"
"227",24,25,"Call it true love","True Love"
"228",24,26,"Call it true","True Love"
"229",24,27,"Call it true love","True Love"
"230",24,28,NA,"True Love"
"231",25,1,"In the darkness before the dawn","Midnight"
"232",25,2,"In the swirling of the storm","Midnight"
"233",25,3,"When I'm rolling with the punches and hope is gone","Midnight"
"234",25,4,"Leave a light, a light on","Midnight"
"235",25,5,"Millions of miles from home","Midnight"
"236",25,6,"In the swirling swimming on","Midnight"
"237",25,7,"When I'm rolling with the thunder","Midnight"
"238",25,8,"But bleed from thorns","Midnight"
"239",25,9,"Leave a light, a light on","Midnight"
"240",25,10,"Leave a light, a light on","Midnight"
"241",25,11,"Leave a light, a light on","Midnight"
"242",25,12,"Leave a light, a light on","Midnight"
"243",25,13,"In the darkness before the dawn","Midnight"
"244",25,14,"In the darkness before the dawn","Midnight"
"245",25,15,"Leave a light, a light on","Midnight"
"246",25,16,"Leave a light, a light on","Midnight"
